Mods count: 59
 
jar name                                                                        | mod id (isMCreator)                      | mixin configs
    /META-INF/jars/fabric-resource-conditions-api-v1-4.3.0+5bdd099819.jar       | fabric_resource_conditions_api_v1        | fabric-resource-conditions-api-v1.mixins.json
    /META-INF/jars/fabric-resource-loader-v0-1.3.1+4ea8954419.jar               | fabric_resource_loader_v0                | fabric-resource-loader-v0.mixins.json, fabric-resource-loader-v0.client.mixins.json
    /META-INF/jars/fabric-screen-api-v1-2.0.25+4228281319.jar                   | fabric_screen_api_v1                     | fabric-screen-api-v1.mixins.json
    /META-INF/jars/fabric-screen-handler-api-v1-1.3.88+8dbc56dd19.jar           | fabric_screen_handler_api_v1             | fabric-screen-handler-api-v1.mixins.json
    /META-INF/jars/fabric-sound-api-v1-1.0.23+10b84f8419.jar                    | fabric_sound_api_v1                      | fabric-sound-api-v1.mixins.json
    /META-INF/jars/fabric-transfer-api-v1-5.4.2+a25cb45619.jar                  | fabric_transfer_api_v1                   | fabric-transfer-api-v1.mixins.json
    /META-INF/jars/fabric-transitive-access-wideners-v1-6.2.0+6c854b6f19.jar    | fabric_transitive_access_wideners_v1     | 
    /META-INF/jars/forgified-fabric-loader-2.5.29+0.16.0+1.21-full.jar          |                                          | 
geckolib-neoforge-1.21.1-4.8.2.jar                                              | geckolib                                 | geckolib.mixins.json
GlitchCore-neoforge-1.21.1-2.1.0.0.jar                                          | glitchcore                               | glitchcore.mixins.json, glitchcore.neoforge.mixins.json
ImmediatelyFast-NeoForge-1.6.7+1.21.1.jar                                       | immediatelyfast                          | immediatelyfast-common.mixins.json, immediatelyfast-neoforge.mixins.json
    /META-INF/jars/Reflect-1.3.4.jar                                            |                                          | 
immersive_aircraft-1.4.1+1.21.1-neoforge.jar                                    | immersive_aircraft                       | immersive_aircraft.mixins.json
    /META-INF/jars/MathParser.org-mXparser-5.2.1.jar                            |                                          | 
iris-neoforge-1.8.12+mc1.21.1.jar                                               | iris                                     | mixins.iris.forge.json, mixins.iris.compat.sodium.json, mixins.iris.devenvironment.json, mixins.iris.fixes.maxfpscrash.json, iris-batched-entity-rendering.mixins.json, mixins.iris.json, mixins.iris.fantastic.json, mixins.iris.integrationtest.json, mixins.iris.vertexformat.json, mixins.iris.bettermipmaps.json, mixins.iris.compat.dh.json
    /META-INF/jarjar/glsl-transformer-2.0.1.jar                                 |                                          | 
    /META-INF/jarjar/jcpp-1.4.14.jar                                            |                                          | 
    /META-INF/jarjar/fabric-api-base-0.4.42+d1308ded19.jar                      | fabric_api_base                          | 
    /META-INF/jarjar/fabric-block-view-api-v2-1.0.10+9afaaf8c19.jar             | fabric_block_view_api_v2                 | fabric-block-view-api-v2.client.mixins.json, fabric-block-view-api-v2.mixins.json
    /META-INF/jarjar/fabric-renderer-api-v1-3.4.0+acb05a3919.jar                | fabric_renderer_api_v1                   | fabric-renderer-api-v1.debughud.mixins.json, fabric-renderer-api-v1.mixins.json
    /META-INF/jarjar/fabric-rendering-data-attachment-v1-0.3.48+73761d2e19.jar  | fabric_rendering_data_attachment_v1      | fabric-rendering-data-attachment-v1.client.mixins.json, fabric-rendering-data-attachment-v1.mixins.json
Jade-1.21.1-NeoForge-15.10.3.jar                                                | jade                                     | jade.mixins.json
jei-1.21.1-neoforge-19.25.0.322.jar                                             | jei                                      | 
lambdynamiclights-4.7.2+1.21.1.jar                                              | lambdynlights                            | 
    /META-INF/jars/lambdynamiclights-4.7.2+1.21.1-neoforge.jar                  | lambdynlights_runtime                    | lambdynlights.mixins.json, lambdynlights.lightsource.mixins.json
        /META-INF/jars/yumi-mc-foundation-1.0.0-alpha.16+1.21.1-mojmap.jar      | yumi_mc_core                             | yumi_mc_core.mixins.json, yumi_mc_core.neoforge.mixins.json
            /META-INF/jars/yumi-commons-collections-1.0.0-beta.4.jar            | yumi_commons_collections                 | 
            /META-INF/jars/yumi-commons-core-1.0.0-beta.4.jar                   | yumi_commons_core                        | 
            /META-INF/jars/yumi-commons-event-1.0.0-beta.4.jar                  | yumi_commons_event                       | 
        /META-INF/jars/spruceui-6.2.5+1.21.1-mojmap.jar                         | spruceui                                 | 
        /META-INF/jars/pridelib-1.2.4+1.21.1-mojmap.jar                         | pride                                    | 
        /META-INF/jars/lambdynamiclights-api-4.7.2+1.21.1-mojmap.jar            | lambdynlights_api                        | 
            /META-INF/jars/yumi-commons-collections-1.0.0-beta.5.jar            | yumi_commons_collections                 | 
            /META-INF/jars/yumi-commons-core-1.0.0-beta.5.jar                   | yumi_commons_core                        | 
            /META-INF/jars/yumi-commons-event-1.0.0-beta.5.jar                  | yumi_commons_event                       | 
    /META-INF/jars/lambdynamiclights-4.7.2+1.21.1.jar                           | lambdynlights_runtime                    | lambdynlights.mixins.json, lambdynlights.lightsource.mixins.json
        /META-INF/jars/lambdynamiclights-api-4.7.2+1.21.1.jar                   | lambdynlights_api                        | 
            /META-INF/jars/yumi-commons-collections-1.0.0-beta.5.jar            | yumi_commons_collections                 | 
            /META-INF/jars/yumi-commons-core-1.0.0-beta.5.jar                   | yumi_commons_core                        | 
            /META-INF/jars/yumi-commons-event-1.0.0-beta.5.jar                  | yumi_commons_event                       | 
        /META-INF/jars/pridelib-1.2.4+1.21.1.jar                                | pride                                    | 
        /META-INF/jars/spruceui-6.2.5+1.21.1.jar                                | spruceui                                 | spruceui.mixins.json
        /META-INF/jars/yumi-mc-foundation-1.0.0-alpha.16+1.21.1.jar             | yumi_mc_core                             | yumi_mc_core.mixins.json, yumi_mc_core.neoforge.mixins.json
            /META-INF/jars/yumi-commons-event-1.0.0-beta.4.jar                  | yumi_commons_event                       | 
